internal_id	source_key	lexeme_ids	entity_sha256	lemma_json	stratum	sample_score_sha256	pinned	genders	gender_claims_json	number_restriction	restriction_claims_json	paradigm_claims_json	source_completeness	slot_values_json	slot_form_ids_json	combining_forms_json	object_form_evidence_json	compound_statement_ids_json	sense_statement_ids_json	structural_evidence	orthography	diagnostics_json	review_status
wdn_000001_N	L2208	["L2208"]	["fe64bcc888196c81a5384de8ecc5381fad2015bd407f0b1a9d8c0882720bce24"]	"Literatur"	rejected_feature	37f3613ea2fbe78830bdc07f7b4bf143557dc6efb7e7d796047810b3a44cd58f	no	["feminine"]	[{"rank":"normal","statement":"L2208$542c3cfa-415b-af8c-9f7d-a298a29a6fbf","value":"Q1775415"}]	ordinary	[]	[]	complete	{"s_pl_acc":["Literaturen"],"s_pl_dat":["Literaturen"],"s_pl_gen":["Literaturen"],"s_pl_nom":["Literaturen"],"s_sg_acc":["Literatur"],"s_sg_dat":["Literatur"],"s_sg_gen":["Literatur"],"s_sg_nom":["Literatur"]}	{"s_pl_acc":["L2208-F9"],"s_pl_dat":["L2208-F8"],"s_pl_gen":["L2208-F7"],"s_pl_nom":["L2208-F6"],"s_sg_acc":["L2208-F5"],"s_sg_dat":["L2208-F4"],"s_sg_gen":["L2208-F3"],"s_sg_nom":["L2208-F2"]}	[]	[]	[]	[]	component_target	[]	["non_slot_form_bundle","rejected_noun_form_feature"]	automatic
wdn_000002_N	L2707	["L2707"]	["8e0a07dff947153b111eb243f8c90601bc35fe2057f176aa0a9cea19386cef4c"]	"Bibliothek"	explicit_combining	06d14e034ca195b16d2f2a6c5731ce9fadb12c19612896e54d92a31ac41fe99d	no	["feminine"]	[{"rank":"normal","statement":"L2707$74c1e2c0-418a-88f4-f36a-832dab14995f","value":"Q1775415"}]	ordinary	[]	[]	complete	{"s_pl_acc":["Bibliotheken"],"s_pl_dat":["Bibliotheken"],"s_pl_gen":["Bibliotheken"],"s_pl_nom":["Bibliotheken"],"s_sg_acc":["Bibliothek"],"s_sg_dat":["Bibliothek"],"s_sg_gen":["Bibliothek"],"s_sg_nom":["Bibliothek"]}	{"s_pl_acc":["L2707-F8"],"s_pl_dat":["L2707-F7"],"s_pl_gen":["L2707-F6"],"s_pl_nom":["L2707-F5"],"s_sg_acc":["L2707-F4"],"s_sg_dat":["L2707-F3"],"s_sg_gen":["L2707-F2"],"s_sg_nom":["L2707-F1"]}	[{"features":["Q107614077"],"form_id":"L2707-F9","value":"Bibliotheks"}]	["L290667$457a3db3-4c87-3017-209e-8492b910db5d>L2707-F9"]	[]	[]	component_target	[]	[]	automatic
wdn_000003_N	L2957	["L2957"]	["d963d6ca37676b25d4947b5ee5ccfe6d692e6b347cbee65af30ced32b1eb430a"]	"Haus"	ambiguous_combining	485240f01ea56a7d3f4dc69c4d07625c05348b1222e4feeb1c4281dd16510e2d	no	["neuter"]	[{"rank":"normal","statement":"L2957$f6e64955-4cc8-cd02-191b-364347093f2b","value":"Q1775461"}]	ordinary	[]	[{"rank":"normal","statement":"L2957$bcece381-49eb-7872-0593-1a224dc5ba10","value":"Q124328318"}]	complete	{"s_pl_acc":["Häuser"],"s_pl_dat":["Häusern"],"s_pl_gen":["Häuser"],"s_pl_nom":["Häuser"],"s_sg_acc":["Haus"],"s_sg_dat":["Haus"],"s_sg_gen":["Hauses"],"s_sg_nom":["Haus"]}	{"s_pl_acc":["L2957-F8"],"s_pl_dat":["L2957-F7"],"s_pl_gen":["L2957-F6"],"s_pl_nom":["L2957-F1"],"s_sg_acc":["L2957-F5"],"s_sg_dat":["L2957-F4"],"s_sg_gen":["L2957-F2"],"s_sg_nom":["L2957-F3"]}	[{"features":["Q107614077"],"form_id":"L2957-F10","value":"Häuser"},{"features":["Q107614077"],"form_id":"L2957-F9","value":"Haus"}]	["L824188$43eae51f-4423-5be5-f07e-ee1fa6cbc185>L2957-F10"]	[]	[]	component_target	[]	["multiple_combining_forms"]	automatic
wdn_000004_N	L3146	["L3146"]	["c1052fdbf46fb3d1da9d0fdb58c8e8ac3a1e3a9d45cd592b7168b4b6203e7a62"]	"Großeltern"	plural_only	07c02591b5f0869971c6d47fa675e56de08293334757a86735c8a969d9329be2	yes	[]	[]	plural_only	[{"rank":"normal","statement":"L3146$2AAF321C-7D64-4D35-BB71-EC84066262DE","value":"Q138246"}]	[]	complete	{"s_pl_acc":["Großeltern"],"s_pl_dat":["Großeltern"],"s_pl_gen":["Großeltern"],"s_pl_nom":["Großeltern"]}	{"s_pl_acc":["L3146-F4"],"s_pl_dat":["L3146-F3"],"s_pl_gen":["L3146-F2"],"s_pl_nom":["L3146-F1"]}	[]	[]	["L3146$681fcc67-4a9a-b555-3b2e-da8e55899252","L3146$a075637d-4f4d-f131-2e61-739ff46fa471"]	[]	explicit_compound_analysis	[]	["missing_gender"]	automatic
wdn_000005_N	L6692	["L6692"]	["9da4860c679b0a2338f81b8a0c0d20f7af6781c8efd49622d4d79d1d63f18862"]	"Gedankenfreiheit"	singular_only	03d0daab3d8b4e5ed11a436bdc899d6b4716cce65835fdb51b9d85c07bafd460	no	["feminine"]	[{"rank":"normal","statement":"L6692$86DC6D51-3F9A-45FC-980E-AD22F1F606A4","value":"Q1775415"}]	singular_only	[{"rank":"normal","statement":"L6692$6A4294BB-D1FB-4031-987C-4393E5F99BCE","value":"Q604984"}]	[]	complete	{"s_sg_acc":["Gedankenfreiheit"],"s_sg_dat":["Gedankenfreiheit"],"s_sg_gen":["Gedankenfreiheit"],"s_sg_nom":["Gedankenfreiheit"]}	{"s_sg_acc":["L6692-F4"],"s_sg_dat":["L6692-F3"],"s_sg_gen":["L6692-F2"],"s_sg_nom":["L6692-F1"]}	[]	[]	["L6692$18d67537-4d52-e902-beaa-eafbcbcdcedf","L6692$29a8393a-4238-af80-380f-86241b017237"]	[]	explicit_compound_analysis	[]	[]	automatic
wdn_000006_N	L6726	["L6726"]	["032f5c99f882fac136b6609c17b61543f83b78e0c4c06c4fb202410803322069"]	"Schmutz"	singular_only	0b6dc62c667590c4a155738b7a47561efdda849c9c7902e12b800209b3f9e29a	no	["masculine"]	[{"rank":"normal","statement":"L6726$3E360C07-74CC-4A23-9F05-2E927C45932D","value":"Q499327"}]	singular_only	[{"rank":"normal","statement":"L6726$ED70210F-C010-4E1B-A64A-3F0434FBF81F","value":"Q604984"}]	[]	complete	{"s_sg_acc":["Schmutz"],"s_sg_dat":["Schmutz"],"s_sg_gen":["Schmutzes"],"s_sg_nom":["Schmutz"]}	{"s_sg_acc":["L6726-F4"],"s_sg_dat":["L6726-F3"],"s_sg_gen":["L6726-F2"],"s_sg_nom":["L6726-F1"]}	[]	[]	[]	[]	component_target	[]	[]	automatic
wdn_000007_N	L6752	["L6752"]	["7d02cafb954c7e696e2f1942abed8c00c78e16d238fbe235cc41059a400fe53c"]	"Dezimalsystem"	singular_only	0537ab5e2909101d24ce494e396d0d3b0d5270f73c84acbb963dc9d75b7a97cc	no	["neuter"]	[{"rank":"normal","statement":"L6752$DF43F88C-C868-45D3-BD3B-913C00BB2194","value":"Q1775461"}]	singular_only	[{"rank":"normal","statement":"L6752$FCA6331F-4A4F-4FFD-9EAB-86052EE81D95","value":"Q604984"}]	[]	complete	{"s_sg_acc":["Dezimalsystem"],"s_sg_dat":["Dezimalsystem"],"s_sg_gen":["Dezimalsystems"],"s_sg_nom":["Dezimalsystem"]}	{"s_sg_acc":["L6752-F4"],"s_sg_dat":["L6752-F3"],"s_sg_gen":["L6752-F2"],"s_sg_nom":["L6752-F1"]}	[]	[]	["L6752$0cbced8f-46a9-e8c9-22a8-3d83aaf4ca6d","L6752$a08aefce-4ae1-549a-56a3-36204b879029"]	[]	explicit_compound_analysis	[]	[]	automatic
wdn_000008_N	L6821	["L6821"]	["6931244031b06bdf674988e902151982e031ea5f3b39803972cb27b36911a88c"]	"Freitag"	explicit_combining	091b4f0f9f1234902b59bd33ed380fd18f587da44115b79c2027b0aff1960a9a	no	["masculine"]	[{"rank":"normal","statement":"L6821$8C379F16-E325-4F9F-B724-12C3699FE05C","value":"Q499327"}]	ordinary	[]	[]	complete	{"s_pl_acc":["Freitage"],"s_pl_dat":["Freitagen"],"s_pl_gen":["Freitage"],"s_pl_nom":["Freitage"],"s_sg_acc":["Freitag"],"s_sg_dat":["Freitag"],"s_sg_gen":["Freitags"],"s_sg_nom":["Freitag"]}	{"s_pl_acc":["L6821-F8"],"s_pl_dat":["L6821-F7"],"s_pl_gen":["L6821-F6"],"s_pl_nom":["L6821-F5"],"s_sg_acc":["L6821-F4"],"s_sg_dat":["L6821-F3"],"s_sg_gen":["L6821-F2"],"s_sg_nom":["L6821-F1"]}	[{"features":["Q107614077"],"form_id":"L6821-F9","value":"Freitags"}]	["L789090$4444d831-4a51-35f9-cf18-255f59efbdd0>L6821-F9"]	[]	[]	component_target	[]	[]	automatic
wdn_000009_N	L7119	["L7119"]	["253f5249d36fd29b57a0645bdee29a5750de278df12ad68004cf0245ee3994a3"]	"Quelle"	explicit_combining	061edd23d264364c898d8c1267037f25a438d15a5bba2571c51fe6fca5fdf215	no	["feminine"]	[{"rank":"normal","statement":"L7119$0C8A2C28-1619-47A8-B74F-7F073B7B7164","value":"Q1775415"}]	ordinary	[]	[]	complete	{"s_pl_acc":["Quellen"],"s_pl_dat":["Quellen"],"s_pl_gen":["Quellen"],"s_pl_nom":["Quellen"],"s_sg_acc":["Quelle"],"s_sg_dat":["Quelle"],"s_sg_gen":["Quelle"],"s_sg_nom":["Quelle"]}	{"s_pl_acc":["L7119-F8"],"s_pl_dat":["L7119-F7"],"s_pl_gen":["L7119-F6"],"s_pl_nom":["L7119-F5"],"s_sg_acc":["L7119-F4"],"s_sg_dat":["L7119-F3"],"s_sg_gen":["L7119-F2"],"s_sg_nom":["L7119-F1"]}	[{"features":["Q107614077"],"form_id":"L7119-F9","value":"Quellen"}]	[]	[]	[]	component_target	[]	[]	automatic
wdn_000010_N	L7330	["L7330"]	["95a28f49ec1330b533f060c2ddc6abd2698553311c868d5dd32bc2c587659947"]	"Leuchtturmwärter"	regular_masculine	00253868b8cbb937bc7392235cfc6e52a80fcb2b58349bfa7fb1c3aa5b955ff3	no	["masculine"]	[{"rank":"normal","statement":"L7330$7365F090-416A-48BE-A67D-7CF98968BC43","value":"Q499327"}]	ordinary	[]	[{"rank":"normal","statement":"L7330$9D7A2CD8-E563-49C4-9539-E1522F5EE993","value":"Q105683521"}]	complete	{"s_pl_acc":["Leuchtturmwärter"],"s_pl_dat":["Leuchtturmwärtern"],"s_pl_gen":["Leuchtturmwärter"],"s_pl_nom":["Leuchtturmwärter"],"s_sg_acc":["Leuchtturmwärter"],"s_sg_dat":["Leuchtturmwärter"],"s_sg_gen":["Leuchtturmwärters"],"s_sg_nom":["Leuchtturmwärter"]}	{"s_pl_acc":["L7330-F8"],"s_pl_dat":["L7330-F7"],"s_pl_gen":["L7330-F6"],"s_pl_nom":["L7330-F5"],"s_sg_acc":["L7330-F4"],"s_sg_dat":["L7330-F3"],"s_sg_gen":["L7330-F2"],"s_sg_nom":["L7330-F1"]}	[]	[]	[]	[]	component_target	[]	[]	automatic
